# Acquisizione Analog Discovery 2
# Timestamp 2024-10-01 11:24:35
# time	ch1	ch2
-4.095999999999999815e-04	5.567431391806907381e-01	-4.741800084820293471e-01
-4.094999999999999790e-04	5.611454522571466264e-01	-4.697747359817275870e-01
-4.093999999999999766e-04	5.655477653336026256e-01	-4.690970017509119017e-01
-4.092999999999999742e-04	5.696114389426387703e-01	-4.653694634814258269e-01
-4.091999999999999717e-04	5.763842282910325299e-01	-4.650305963660180120e-01
-4.090999999999999693e-04	5.821410992371672810e-01	-4.633362607889788265e-01
-4.089999999999999669e-04	5.909457253900791684e-01	-4.589309882886770664e-01
-4.088999999999999644e-04	5.939934805968563047e-01	-4.579143869424536217e-01
-4.087999999999999620e-04	6.021208278149288162e-01	-4.541868486729674914e-01
-4.086999999999999596e-04	6.061845014239650720e-01	-4.528313802113361763e-01
-4.085999999999999572e-04	6.126186513049390880e-01	-4.491038419418501015e-01
-4.084999999999999547e-04	6.197300801207525911e-01	-4.460540379031796565e-01
-4.084000000000000065e-04	6.237937537297888468e-01	-4.460540379031796565e-01
-4.083000000000000041e-04	6.305665430781824954e-01	-4.419876325182857113e-01
-4.082000000000000016e-04	6.353074956220581271e-01	-4.406321640566543962e-01
-4.080999999999999992e-04	6.434348428401306386e-01	-4.396155627104308961e-01
-4.079999999999999968e-04	6.515621900582031500e-01	-4.348714230947213211e-01
-4.078999999999999944e-04	6.542713057975606539e-01	-4.345325559793135062e-01
-4.077999999999999919e-04	6.610440951459544134e-01	-4.318216190560508760e-01
-4.076999999999999895e-04	6.637532108853119173e-01	-4.291106821327882459e-01
-4.075999999999999871e-04	6.732351159730631807e-01	-4.260608780941178009e-01
-4.074999999999999846e-04	6.776374290495190689e-01	-4.233499411708551707e-01
-4.073999999999999822e-04	6.871193341372703323e-01	-4.199612700167769108e-01
-4.072999999999999798e-04	6.911830077463065880e-01	-4.182669344397377809e-01
-4.071999999999999773e-04	7.003262733666381079e-01	-4.142005290548438357e-01
-4.070999999999999749e-04	7.006649128340578514e-01	-4.145393961702516505e-01
-4.069999999999999725e-04	7.094695389869697388e-01	-4.108118579007655757e-01
-4.068999999999999700e-04	7.131945731285862511e-01	-4.091175223237264458e-01
-4.067999999999999676e-04	7.206446414118193866e-01	-4.060677182850560007e-01
-4.066999999999999652e-04	7.280947096950525221e-01	-4.036956484772011855e-01
-4.065999999999999628e-04	7.308038254344100260e-01	-4.013235786693464258e-01
-4.064999999999999603e-04	7.385925331850627940e-01	-3.979349075152681103e-01
-4.063999999999999579e-04	7.440107646637778016e-01	-3.972571732844524806e-01
-4.062999999999999555e-04	7.511221934795913047e-01	-3.942073692457820355e-01
-4.062000000000000072e-04	7.555245065560471929e-01	-3.894632296300724605e-01
-4.061000000000000048e-04	7.636518537741197044e-01	-3.881077611684411455e-01
-4.060000000000000024e-04	7.660223300460574647e-01	-3.853968242451785153e-01
-4.058999999999999999e-04	7.727951193944512243e-01	-3.833636215527315150e-01
-4.057999999999999975e-04	7.788906298080056079e-01	-3.820081530911002554e-01
-4.056999999999999951e-04	7.849861402215599915e-01	-3.779417477062063102e-01
-4.055999999999999927e-04	7.904043717002749991e-01	-3.765862792445749951e-01
-4.054999999999999902e-04	7.948066847767308873e-01	-3.731976080904967352e-01
-4.053999999999999878e-04	8.002249162554458950e-01	-3.731976080904967352e-01
-4.052999999999999854e-04	8.059817872015806461e-01	-3.681146013593792898e-01
-4.051999999999999829e-04	8.120772976151350298e-01	-3.650647973207088448e-01
-4.050999999999999805e-04	8.218978421703059256e-01	-3.633704617436697148e-01
-4.049999999999999781e-04	8.256228763119224379e-01	-3.589651892433679548e-01
-4.048999999999999756e-04	8.317183867254768215e-01	-3.599817905895914549e-01
-4.047999999999999732e-04	8.364593392693524532e-01	-3.542210496276583798e-01
-4.046999999999999708e-04	8.432321286177462127e-01	-3.532044482814348796e-01
-4.045999999999999684e-04	8.496662784987203398e-01	-3.498157771273566197e-01
-4.044999999999999659e-04	8.554231494448549800e-01	-3.477825744349096193e-01
-4.043999999999999635e-04	8.581322651842124838e-01	-3.440550361654235445e-01
-4.042999999999999611e-04	8.662596124022849953e-01	-3.433773019346078592e-01
-4.041999999999999586e-04	8.693073676090621316e-01	-3.399886307805295993e-01
-4.040999999999999562e-04	8.770960753597150106e-01	-3.372776938572669692e-01
-4.040000000000000080e-04	8.828529463058496507e-01	-3.362610925110435245e-01
-4.039000000000000055e-04	8.859007015126267870e-01	-3.342278898185965241e-01
-4.038000000000000031e-04	8.933507697958599225e-01	-3.291448830874791343e-01
-4.037000000000000007e-04	8.967371644700568023e-01	-3.281282817412556341e-01
-4.035999999999999983e-04	9.048645116881293138e-01	-3.247396105871773742e-01
-4.034999999999999958e-04	9.085895458297459371e-01	-3.237230092409538740e-01
-4.033999999999999934e-04	9.146850562433002096e-01	-3.166067998173894837e-01
-4.032999999999999910e-04	9.194260087871758413e-01	-3.176234011636129839e-01
-4.031999999999999885e-04	9.292465533423468482e-01	-3.152513313557582242e-01
-4.030999999999999861e-04	9.312783901468649761e-01	-3.108460588554564641e-01
-4.029999999999999837e-04	9.400830162997768635e-01	-3.098294575092329639e-01
-4.028999999999999812e-04	9.414375741694556154e-01	-3.071185205859703338e-01
-4.027999999999999788e-04	9.465171661807508796e-01	-3.040687165472998887e-01
-4.026999999999999764e-04	9.526126765943052632e-01	-3.013577796240372586e-01
-4.025999999999999739e-04	9.580309080730202709e-01	-2.986468427007746285e-01
-4.024999999999999715e-04	9.631105000843155350e-01	-2.959359057775119983e-01
-4.023999999999999691e-04	9.688673710304502862e-01	-2.942415702004728684e-01
-4.022999999999999667e-04	9.766560787811030542e-01	-2.908528990463946085e-01
-4.021999999999999642e-04	9.810583918575589424e-01	-2.878030950077241634e-01
-4.020999999999999618e-04	9.861379838688543176e-01	-2.867864936615006632e-01
-4.019999999999999594e-04	9.932494126846677096e-01	-2.837366896228302182e-01
-4.018999999999999569e-04	9.966358073588645894e-01	-2.793314171225284581e-01
-4.018000000000000087e-04	1.005101794044356733e+00	-2.776370815454893282e-01
-4.017000000000000063e-04	1.007472270316294605e+00	-2.756038788530423833e-01
-4.016000000000000038e-04	1.016276896469206381e+00	-2.722152076989640679e-01
-4.015000000000000014e-04	1.018647372741144252e+00	-2.711986063527406232e-01
-4.013999999999999990e-04	1.026097441024377499e+00	-2.681488023140701782e-01
-4.012999999999999966e-04	1.028129277828895516e+00	-2.640823969291762330e-01
-4.011999999999999941e-04	1.034902067177289275e+00	-2.637435298137684181e-01
-4.010999999999999917e-04	1.040658938123423916e+00	-2.600159915442822878e-01
-4.009999999999999893e-04	1.046754448536978410e+00	-2.552718519285727128e-01
-4.008999999999999868e-04	1.049802203743755546e+00	-2.539163834669413977e-01
-4.007999999999999844e-04	1.056913632559568939e+00	-2.515443136590866380e-01
-4.006999999999999820e-04	1.061993224570864314e+00	-2.478167753896005077e-01
-4.005999999999999795e-04	1.067072816582159689e+00	-2.474779082741926928e-01
-4.004999999999999771e-04	1.073845605930553226e+00	-2.427337686584831178e-01
-4.003999999999999747e-04	1.078247919007009337e+00	-2.396839646198126728e-01
-4.002999999999999723e-04	1.086036626757661994e+00	-2.386673632735891726e-01
-4.001999999999999698e-04	1.089084381964439352e+00	-2.349398250041030978e-01
-4.000999999999999674e-04	1.093486695040895240e+00	-2.325677551962482825e-01
-3.999999999999999650e-04	1.097550368649931496e+00	-2.305345525038013377e-01
-3.998999999999999625e-04	1.106693634270262905e+00	-2.281624826959465224e-01
-3.997999999999999601e-04	1.109741389477040263e+00	-2.244349444264604476e-01
-3.996999999999999577e-04	1.114143702553496151e+00	-2.227406088494212621e-01
-3.995999999999999552e-04	1.121255131369309543e+00	-2.203685390415665024e-01
-3.995000000000000070e-04	1.124641526043506534e+00	-2.149466651950412421e-01
-3.994000000000000046e-04	1.126673362848024551e+00	-2.132523296180021122e-01
