# Acquisizione Analog Discovery 2
# Timestamp 2024-10-01 11:34:47
# time	ch1	ch2
-4.095999999999999815e-03	-2.010144023860539697e+00	-1.305759909692838283e+00
-4.094999999999999682e-03	-2.008112187056021458e+00	-1.306776511039061672e+00
-4.093999999999999549e-03	-2.009466744925700432e+00	-1.307115378154469543e+00
-4.092999999999999416e-03	-2.008112187056021458e+00	-1.307115378154469543e+00
-4.092000000000000151e-03	-2.010482663327959330e+00	-1.306776511039061672e+00
-4.091000000000000018e-03	-2.010482663327959330e+00	-1.306098776808246154e+00
-4.089999999999999886e-03	-2.006418989718923296e+00	-1.307115378154469543e+00
-4.088999999999999753e-03	-2.007434908121182193e+00	-1.305759909692838283e+00
-4.087999999999999620e-03	-2.008789465990860723e+00	-1.305759909692838283e+00
-4.086999999999999487e-03	-2.008450826523441091e+00	-1.306098776808246154e+00
-4.086000000000000222e-03	-2.008450826523441091e+00	-1.306437643923653802e+00
-4.085000000000000089e-03	-2.007773547588601826e+00	-1.304743308346614672e+00
-4.083999999999999957e-03	-2.009128105458280800e+00	-1.307115378154469543e+00
-4.082999999999999824e-03	-2.007434908121182193e+00	-1.305759909692838283e+00
-4.081999999999999691e-03	-2.010144023860539697e+00	-1.304065574115799153e+00
-4.080999999999999558e-03	-2.008112187056021458e+00	-1.304065574115799153e+00
-4.079999999999999426e-03	-2.009805384393120065e+00	-1.304065574115799153e+00
-4.079000000000000160e-03	-2.007773547588601826e+00	-1.305421042577430413e+00
-4.078000000000000028e-03	-2.009128105458280800e+00	-1.305421042577430413e+00
-4.076999999999999895e-03	-2.009805384393120065e+00	-1.302710105654167894e+00
-4.075999999999999762e-03	-2.007773547588601826e+00	-1.304743308346614672e+00
-4.074999999999999629e-03	-2.007773547588601826e+00	-1.305421042577430413e+00
-4.073999999999999497e-03	-2.008112187056021458e+00	-1.305421042577430413e+00
-4.073000000000000231e-03	-2.010482663327959330e+00	-1.304065574115799153e+00
-4.072000000000000099e-03	-2.007096268653762561e+00	-1.303726707000391283e+00
-4.070999999999999966e-03	-2.008112187056021458e+00	-1.304065574115799153e+00
-4.069999999999999833e-03	-2.008450826523441091e+00	-1.303726707000391283e+00
-4.068999999999999700e-03	-2.009805384393120065e+00	-1.304404441231207024e+00
-4.067999999999999568e-03	-2.008112187056021458e+00	-1.302710105654167894e+00
-4.066999999999999435e-03	-2.006418989718923296e+00	-1.305082175462022542e+00
-4.066000000000000170e-03	-2.008112187056021458e+00	-1.303048972769575542e+00
-4.065000000000000037e-03	-2.009805384393120065e+00	-1.302032371423352153e+00
-4.063999999999999904e-03	-2.007096268653762561e+00	-1.301693504307944282e+00
-4.062999999999999771e-03	-2.009805384393120065e+00	-1.303048972769575542e+00
-4.061999999999999639e-03	-2.009805384393120065e+00	-1.303726707000391283e+00
-4.060999999999999506e-03	-2.008450826523441091e+00	-1.304404441231207024e+00
-4.060000000000000241e-03	-2.009128105458280800e+00	-1.301015770077128764e+00
-4.059000000000000108e-03	-2.009466744925700432e+00	-1.302710105654167894e+00
-4.057999999999999975e-03	-2.006757629186342928e+00	-1.303387839884983412e+00
-4.056999999999999842e-03	-2.009805384393120065e+00	-1.304065574115799153e+00
-4.055999999999999710e-03	-2.007773547588601826e+00	-1.302371238538760023e+00
-4.054999999999999577e-03	-2.007773547588601826e+00	-1.301354637192536412e+00
-4.053999999999999444e-03	-2.008112187056021458e+00	-1.301354637192536412e+00
-4.053000000000000179e-03	-2.008112187056021458e+00	-1.302710105654167894e+00
-4.052000000000000046e-03	-2.009805384393120065e+00	-1.303048972769575542e+00
-4.050999999999999913e-03	-2.009128105458280800e+00	-1.302032371423352153e+00
-4.049999999999999781e-03	-2.010144023860539697e+00	-1.302032371423352153e+00
-4.048999999999999648e-03	-2.008112187056021458e+00	-1.301693504307944282e+00
-4.047999999999999515e-03	-2.009805384393120065e+00	-1.301693504307944282e+00
-4.047000000000000250e-03	-2.006418989718923296e+00	-1.300676902961720893e+00
-4.046000000000000117e-03	-2.004387152914405057e+00	-1.297627098923050282e+00
-4.044999999999999984e-03	-2.004725792381824689e+00	-1.303048972769575542e+00
-4.043999999999999852e-03	-2.008112187056021458e+00	-1.301015770077128764e+00
-4.042999999999999719e-03	-2.009128105458280800e+00	-1.302032371423352153e+00
-4.041999999999999586e-03	-2.007773547588601826e+00	-1.303048972769575542e+00
-4.040999999999999454e-03	-2.008450826523441091e+00	-1.303726707000391283e+00
-4.040000000000000188e-03	-2.009128105458280800e+00	-1.302032371423352153e+00
-4.039000000000000055e-03	-2.007773547588601826e+00	-1.301354637192536412e+00
-4.037999999999999923e-03	-2.007434908121182193e+00	-1.301354637192536412e+00
-4.036999999999999790e-03	-2.010821302795378962e+00	-1.300676902961720893e+00
-4.035999999999999657e-03	-2.009805384393120065e+00	-1.301015770077128764e+00
-4.034999999999999525e-03	-2.010821302795378962e+00	-1.301693504307944282e+00
-4.033999999999999392e-03	-2.008789465990860723e+00	-1.299999168730905152e+00
-4.033000000000000126e-03	-2.010144023860539697e+00	-1.300676902961720893e+00
-4.031999999999999994e-03	-2.009805384393120065e+00	-1.300676902961720893e+00
-4.030999999999999861e-03	-2.007434908121182193e+00	-1.302032371423352153e+00
-4.029999999999999728e-03	-2.006757629186342928e+00	-1.301015770077128764e+00
-4.028999999999999596e-03	-2.008450826523441091e+00	-1.300676902961720893e+00
-4.027999999999999463e-03	-2.010482663327959330e+00	-1.299999168730905152e+00
-4.027000000000000197e-03	-2.008789465990860723e+00	-1.299999168730905152e+00
-4.026000000000000065e-03	-2.011837221197638303e+00	-1.300338035846313023e+00
-4.024999999999999932e-03	-2.010482663327959330e+00	-1.301693504307944282e+00
-4.023999999999999799e-03	-2.008450826523441091e+00	-1.299999168730905152e+00
-4.022999999999999667e-03	-2.009805384393120065e+00	-1.298643700269273893e+00
-4.021999999999999534e-03	-2.009805384393120065e+00	-1.301693504307944282e+00
-4.020999999999999401e-03	-2.006418989718923296e+00	-1.300338035846313023e+00
-4.020000000000000136e-03	-2.010144023860539697e+00	-1.299660301615497282e+00
-4.019000000000000003e-03	-2.010821302795378962e+00	-1.300338035846313023e+00
-4.017999999999999870e-03	-2.006757629186342928e+00	-1.299999168730905152e+00
-4.016999999999999738e-03	-2.008789465990860723e+00	-1.297627098923050282e+00
-4.015999999999999605e-03	-2.011159942262798594e+00	-1.299999168730905152e+00
-4.014999999999999472e-03	-2.009128105458280800e+00	-1.299999168730905152e+00
-4.014000000000000207e-03	-2.007773547588601826e+00	-1.301015770077128764e+00
-4.013000000000000074e-03	-2.006418989718923296e+00	-1.297965966038458152e+00
-4.011999999999999941e-03	-2.010482663327959330e+00	-1.299660301615497282e+00
-4.010999999999999809e-03	-2.010821302795378962e+00	-1.298304833153866022e+00
-4.009999999999999676e-03	-2.008112187056021458e+00	-1.299660301615497282e+00
-4.008999999999999543e-03	-2.009805384393120065e+00	-1.299321434500089634e+00
-4.007999999999999410e-03	-2.007096268653762561e+00	-1.299321434500089634e+00
-4.007000000000000145e-03	-2.008789465990860723e+00	-1.300676902961720893e+00
-4.006000000000000012e-03	-2.008450826523441091e+00	-1.297965966038458152e+00
-4.004999999999999880e-03	-2.008789465990860723e+00	-1.299321434500089634e+00
-4.003999999999999747e-03	-2.009128105458280800e+00	-1.300338035846313023e+00
-4.002999999999999614e-03	-2.011498581730218227e+00	-1.297627098923050282e+00
-4.001999999999999481e-03	-2.007096268653762561e+00	-1.296610497576826893e+00
-4.001000000000000216e-03	-2.007773547588601826e+00	-1.297627098923050282e+00
-4.000000000000000083e-03	-2.010482663327959330e+00	-1.297965966038458152e+00
-3.998999999999999951e-03	2.039645367011501786e+00	-1.233920081226378862e+00
-3.997999999999999818e-03	2.037274890739563915e+00	-1.159369315836656700e+00
-3.996999999999999685e-03	2.027115706716973165e+00	-1.091257025639683409e+00
-3.995999999999999552e-03	2.018649720031481021e+00	-1.022805868327302248e+00
-3.994999999999999420e-03	2.015601964824703884e+00	-9.577433821689993465e-01
-3.994000000000000154e-03	2.015263325357284252e+00	-8.933586302415120750e-01
-3.993000000000000022e-03	2.012892849085346381e+00	-8.296516125448405443e-01
