# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	7.236923966185966339e-01	2.235473821426876562e-01
-8.191000000000000364e-03	7.633132143066999609e-01	2.638725688762191268e-01
-8.189999999999999364e-03	8.042885898644821507e-01	3.025034200327114675e-01
-8.189000000000000098e-03	8.449253259548447081e-01	3.438452081124664383e-01
-8.187999999999999098e-03	8.865779804474661629e-01	3.865424646538527242e-01
-8.186999999999999833e-03	9.238283218636318406e-01	4.248344486949372500e-01
-8.185999999999998833e-03	9.651423368888336629e-01	4.627875656206139054e-01
-8.184999999999999568e-03	1.000360841500481213e+00	5.017572838925140610e-01
-8.184000000000000302e-03	1.001376759902740332e+00	5.024350181233296908e-01
-8.182999999999999302e-03	9.983290046959630848e-01	5.000629483154749311e-01
-8.182000000000000037e-03	9.979903652285433413e-01	4.993852140846593013e-01
-8.180999999999999037e-03	9.990062836308024607e-01	4.997240812000671162e-01
-8.179999999999999771e-03	9.979903652285433413e-01	4.997240812000671162e-01
-8.178999999999998771e-03	1.000022202033061580e+00	4.983686127384358011e-01
-8.177999999999999506e-03	1.000699480967900845e+00	5.010795496616983202e-01
-8.177000000000000240e-03	9.969744468262843329e-01	5.014184167771061906e-01
-8.175999999999999240e-03	9.990062836308024607e-01	5.000629483154749311e-01
-8.174999999999999975e-03	9.973130862937039653e-01	4.980297456230279862e-01
-8.173999999999998975e-03	9.983290046959630848e-01	4.987074798538436160e-01
-8.172999999999999710e-03	9.956198889566055810e-01	4.980297456230279862e-01
-8.172000000000000444e-03	9.983290046959630848e-01	4.993852140846593013e-01
-8.170999999999999444e-03	9.959585284240252134e-01	4.976908785076201713e-01
-8.170000000000000179e-03	9.976517257611237088e-01	4.976908785076201713e-01
-8.168999999999999179e-03	9.986676441633827173e-01	4.966742771613966712e-01
-8.167999999999999913e-03	9.990062836308024607e-01	4.990463469692514864e-01
-8.166999999999998913e-03	9.962971678914449569e-01	4.976908785076201713e-01
-8.165999999999999648e-03	1.000699480967900845e+00	5.000629483154749311e-01
-8.165000000000000382e-03	9.993449230982220932e-01	4.997240812000671162e-01
-8.163999999999999382e-03	9.976517257611237088e-01	4.953188086997653561e-01
-8.163000000000000117e-03	9.962971678914449569e-01	4.973520113922123009e-01
-8.161999999999999117e-03	9.959585284240252134e-01	4.963354100459888563e-01
-8.160999999999999852e-03	9.969744468262843329e-01	4.983686127384358011e-01
-8.159999999999998851e-03	9.993449230982220932e-01	4.976908785076201713e-01
-8.158999999999999586e-03	1.000360841500481213e+00	4.987074798538436160e-01
-8.158000000000000321e-03	9.966358073588645894e-01	4.990463469692514864e-01
-8.156999999999999321e-03	9.973130862937039653e-01	4.959965429305810414e-01
-8.156000000000000055e-03	9.993449230982220932e-01	4.959965429305810414e-01
-8.154999999999999055e-03	9.966358073588645894e-01	4.976908785076201713e-01
-8.153999999999999790e-03	9.952812494891858375e-01	4.987074798538436160e-01
-8.152999999999998790e-03	9.952812494891858375e-01	4.976908785076201713e-01
-8.151999999999999524e-03	9.969744468262843329e-01	4.976908785076201713e-01
-8.151000000000000259e-03	9.962971678914449569e-01	4.980297456230279862e-01
-8.149999999999999259e-03	9.959585284240252134e-01	4.943022073535418559e-01
-8.148999999999999994e-03	9.959585284240252134e-01	4.970131442768044860e-01
-8.147999999999998993e-03	9.962971678914449569e-01	4.963354100459888563e-01
-8.146999999999999728e-03	9.983290046959630848e-01	4.956576758151731710e-01
-8.146000000000000463e-03	9.949426100217662050e-01	4.966742771613966712e-01
-8.144999999999999463e-03	9.949426100217662050e-01	4.963354100459888563e-01
-8.144000000000000197e-03	9.966358073588645894e-01	4.956576758151731710e-01
-8.142999999999999197e-03	9.966358073588645894e-01	4.966742771613966712e-01
-8.141999999999999932e-03	9.952812494891858375e-01	4.956576758151731710e-01
-8.140999999999998932e-03	9.956198889566055810e-01	4.963354100459888563e-01
-8.139999999999999666e-03	9.973130862937039653e-01	4.973520113922123009e-01
-8.139000000000000401e-03	9.956198889566055810e-01	4.949799415843575412e-01
-8.137999999999999401e-03	9.959585284240252134e-01	4.959965429305810414e-01
-8.137000000000000136e-03	9.962971678914449569e-01	4.966742771613966712e-01
-8.135999999999999135e-03	9.949426100217662050e-01	4.929467388919105408e-01
-8.134999999999999870e-03	-1.016914465918596466e+00	-1.484681746628171206e+00
-8.133999999999998870e-03	-9.796641245024308997e-01	-1.477226670089198945e+00
-8.132999999999999605e-03	-9.349637148030321976e-01	-1.431140742393734566e+00
-8.132000000000000339e-03	-8.933110603104106318e-01	-1.389121220083163744e+00
-8.130999999999999339e-03	-8.482720111435922972e-01	-1.346085096426369754e+00
-8.130000000000000074e-03	-8.093284723903282352e-01	-1.304743308346614672e+00
-8.128999999999999074e-03	-7.663212600280279174e-01	-1.263401520266859812e+00
-8.127999999999999808e-03	-7.277163607421834879e-01	-1.226465004687406601e+00
-8.126999999999998808e-03	-6.840318694450439052e-01	-1.181395678338165611e+00
-8.125999999999999543e-03	-6.430564938872617153e-01	-1.140392757373818400e+00
-8.125000000000000278e-03	-6.024197577968991579e-01	-1.100067570640286929e+00
-8.123999999999999277e-03	-5.617830217065367115e-01	-1.060081251022163329e+00
-8.123000000000000012e-03	-5.221622040184332736e-01	-1.016367393134553598e+00
-8.121999999999999012e-03	-4.818641073954905152e-01	-9.811252131321394065e-01
-8.120999999999999747e-03	-4.415660107725477013e-01	-9.404611592832001765e-01
-8.120000000000000481e-03	-4.049929482912214551e-01	-8.981027698572217055e-01
-8.118999999999999481e-03	-3.626630148637605688e-01	-8.601496529315449946e-01
-8.118000000000000216e-03	-3.162694078272633713e-01	-8.150803265823038934e-01
-8.116999999999999216e-03	-2.752940322694811814e-01	-7.737385385025489226e-01
-8.115999999999999950e-03	-2.397368881904140270e-01	-7.368020229230957119e-01
-8.114999999999998950e-03	-1.984228731652121491e-01	-6.961379690741564819e-01
-8.113999999999999685e-03	-1.604952528142071788e-01	-6.575071179176641412e-01
-8.113000000000000420e-03	-1.222289929957824928e-01	-6.165041969533169297e-01
-8.111999999999999419e-03	-7.854450169864282683e-02	-5.782122129122324594e-01
-8.111000000000000154e-03	-3.993960241279845974e-02	-5.361926906016618588e-01
-8.109999999999999154e-03	4.760807286600275343e-03	-4.941731682910911472e-01
-8.108999999999999889e-03	4.336570657244463722e-02	-4.552034500191909916e-01
-8.107999999999998889e-03	8.434108213022681322e-02	-4.155559975164751507e-01
-8.106999999999999623e-03	1.188823078070349315e-01	-3.769251463599828100e-01
-8.106000000000000358e-03	1.622281596367549095e-01	-3.369388267418591543e-01
-8.104999999999999358e-03	2.038808141293764475e-01	-2.966136400083276836e-01
-8.104000000000000092e-03	2.407925160781223817e-01	-2.559495861593883981e-01
-8.102999999999999092e-03	2.844770073752620476e-01	-2.135911967334099271e-01
-8.101999999999999827e-03	3.213887093240079817e-01	-1.739437442306940862e-01
-8.100999999999998827e-03	3.647345611537279320e-01	-1.346351588433861157e-01
-8.099999999999999561e-03	4.060485761789298098e-01	-9.464883922526245996e-02
-8.099000000000000296e-03	4.429602781276757439e-01	-5.466251960713880420e-02
-8.097999999999999296e-03	4.822424563483594939e-01	-1.704826979686994634e-02
-8.097000000000000031e-03	5.249110292432400682e-01	2.395465116747719225e-02
-8.095999999999999031e-03	5.611454522571466264e-01	6.156890097774605358e-02
-8.094999999999999765e-03	6.055072224891256960e-01	1.035884232883166750e-01
-8.094000000000000500e-03	6.444507612423897580e-01	1.452690784834794746e-01
-8.092999999999999500e-03	6.833942999956538200e-01	1.845776638707874451e-01
-8.092000000000000234e-03	7.233537571511768904e-01	2.228696479118719709e-01
-8.090999999999999234e-03	7.616200169696015765e-01	2.631948346454034970e-01
-8.089999999999999969e-03	8.032726714622231423e-01	3.014868186864879673e-01
-8.088999999999998969e-03	8.439094075525855887e-01	3.418120054200194935e-01
-8.087999999999999703e-03	8.842075041755284026e-01	3.834926606151822792e-01
-8.087000000000000438e-03	9.255215192007302250e-01	4.272065185027920098e-01
-8.085999999999999438e-03	9.631105000843155350e-01	4.661762367746921654e-01
-8.085000000000000173e-03	9.993449230982220932e-01	5.004018154308826904e-01
-8.083999999999999173e-03	1.001376759902740332e+00	5.004018154308826904e-01
-8.082999999999999907e-03	1.000699480967900845e+00	5.007406825462905609e-01
-8.081999999999998907e-03	9.993449230982220932e-01	5.000629483154749311e-01
-8.080999999999999642e-03	9.986676441633827173e-01	4.997240812000671162e-01
-8.080000000000000376e-03	9.990062836308024607e-01	4.976908785076201713e-01
-8.078999999999999376e-03	9.986676441633827173e-01	4.976908785076201713e-01
-8.078000000000000111e-03	9.983290046959630848e-01	5.004018154308826904e-01
-8.076999999999999111e-03	9.973130862937039653e-01	4.990463469692514864e-01
-8.075999999999999845e-03	9.986676441633827173e-01	4.997240812000671162e-01
-8.074999999999998845e-03	9.983290046959630848e-01	5.007406825462905609e-01
-8.073999999999999580e-03	9.993449230982220932e-01	5.014184167771061906e-01
-8.073000000000000315e-03	9.986676441633827173e-01	4.966742771613966712e-01
-8.071999999999999315e-03	9.983290046959630848e-01	4.993852140846593013e-01
-8.071000000000000049e-03	9.990062836308024607e-01	4.973520113922123009e-01
-8.069999999999999049e-03	9.973130862937039653e-01	4.970131442768044860e-01
-8.068999999999999784e-03	9.966358073588645894e-01	4.973520113922123009e-01
-8.067999999999998784e-03	9.983290046959630848e-01	4.983686127384358011e-01
-8.066999999999999518e-03	9.959585284240252134e-01	4.973520113922123009e-01
-8.066000000000000253e-03	9.979903652285433413e-01	4.987074798538436160e-01
-8.064999999999999253e-03	9.969744468262843329e-01	4.990463469692514864e-01
-8.063999999999999987e-03	9.959585284240252134e-01	4.976908785076201713e-01
-8.062999999999998987e-03	9.983290046959630848e-01	4.970131442768044860e-01
-8.061999999999999722e-03	9.935880521520874531e-01	4.993852140846593013e-01
-8.061000000000000457e-03	9.962971678914449569e-01	4.976908785076201713e-01
-8.059999999999999457e-03	9.979903652285433413e-01	4.970131442768044860e-01
-8.059000000000000191e-03	9.946039705543464615e-01	4.953188086997653561e-01
-8.057999999999999191e-03	9.962971678914449569e-01	4.980297456230279862e-01
-8.056999999999999926e-03	9.976517257611237088e-01	4.966742771613966712e-01
-8.055999999999998926e-03	9.959585284240252134e-01	4.973520113922123009e-01
-8.054999999999999660e-03	9.952812494891858375e-01	4.966742771613966712e-01
-8.054000000000000395e-03	9.986676441633827173e-01	4.966742771613966712e-01
-8.052999999999999395e-03	9.949426100217662050e-01	4.973520113922123009e-01
-8.052000000000000129e-03	9.979903652285433413e-01	4.973520113922123009e-01
-8.050999999999999129e-03	9.952812494891858375e-01	4.939633402381340410e-01
-8.049999999999999864e-03	9.976517257611237088e-01	4.976908785076201713e-01
-8.048999999999998864e-03	9.976517257611237088e-01	4.970131442768044860e-01
-8.047999999999999599e-03	9.962971678914449569e-01	4.966742771613966712e-01
-8.047000000000000333e-03	9.973130862937039653e-01	4.953188086997653561e-01
-8.045999999999999333e-03	9.993449230982220932e-01	4.973520113922123009e-01
-8.045000000000000068e-03	9.983290046959630848e-01	4.976908785076201713e-01
-8.043999999999999068e-03	9.976517257611237088e-01	4.959965429305810414e-01
-8.042999999999999802e-03	9.973130862937039653e-01	4.966742771613966712e-01
-8.041999999999998802e-03	9.976517257611237088e-01	4.970131442768044860e-01
-8.040999999999999537e-03	9.990062836308024607e-01	4.966742771613966712e-01
-8.040000000000000271e-03	9.976517257611237088e-01	4.963354100459888563e-01
-8.038999999999999271e-03	9.983290046959630848e-01	4.949799415843575412e-01
-8.038000000000000006e-03	9.979903652285433413e-01	4.966742771613966712e-01
-8.036999999999999006e-03	9.956198889566055810e-01	4.963354100459888563e-01
-8.035999999999999741e-03	9.962971678914449569e-01	4.966742771613966712e-01
-8.035000000000000475e-03	-9.762777298282341309e-01	-1.326091936617307843e+00
-8.033999999999999475e-03	-9.837277981114671555e-01	-1.479937607012461687e+00
-8.033000000000000210e-03	-9.366569121401306930e-01	-1.432496210855365826e+00
-8.031999999999999210e-03	-8.902633051036334955e-01	-1.389798954313979484e+00
-8.030999999999999944e-03	-8.486106506110119296e-01	-1.347440564888001013e+00
-8.029999999999998944e-03	-8.072966355858101073e-01	-1.304065574115799153e+00
-8.028999999999999679e-03	-7.683530968325460453e-01	-1.265773590074714683e+00
-8.028000000000000413e-03	-7.260231634050851035e-01	-1.223076333533328341e+00
-8.026999999999999413e-03	-6.836932299776241617e-01	-1.183767748146020260e+00
-8.026000000000000148e-03	-6.423792149524223394e-01	-1.145136896989527919e+00
-8.024999999999999148e-03	-6.003879209923810301e-01	-1.097695500832432058e+00
-8.023999999999999883e-03	-5.627989401087958310e-01	-1.059742383906755459e+00
-8.022999999999998882e-03	-5.221622040184332736e-01	-1.018739462942408247e+00
-8.021999999999999617e-03	-4.818641073954905152e-01	-9.814640802475472769e-01
-8.021000000000000352e-03	-4.425819291748067652e-01	-9.384279565907531762e-01
-8.019999999999999352e-03	-4.009292746821851994e-01	-9.004748396650764652e-01
-8.019000000000000086e-03	-3.613084569940818169e-01	-8.604885200469528650e-01
-8.017999999999999086e-03	-3.237194761104965068e-01	-8.167746621593430234e-01
-8.016999999999999821e-03	-2.796963453459371252e-01	-7.747551398487724228e-01
