# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-4.997119999999999861e-03	1.001038120435320478e+00	5.034516194695531910e-01
-4.996510000000000014e-03	9.986676441633827173e-01	5.004018154308826904e-01
-4.995900000000000167e-03	1.000360841500481213e+00	4.990463469692514864e-01
-4.995289999999999453e-03	1.001715399370159965e+00	4.997240812000671162e-01
-4.994679999999999606e-03	1.000360841500481213e+00	4.990463469692514864e-01
-4.994069999999999759e-03	9.983290046959630848e-01	4.973520113922123009e-01
-4.993459999999999913e-03	9.996835625656417257e-01	5.014184167771061906e-01
-4.992850000000000066e-03	1.000022202033061580e+00	4.983686127384358011e-01
-4.992240000000000219e-03	1.000360841500481213e+00	4.990463469692514864e-01
-4.991629999999999505e-03	9.983290046959630848e-01	4.987074798538436160e-01
-4.991019999999999658e-03	9.973130862937039653e-01	5.000629483154749311e-01
-4.990409999999999811e-03	9.979903652285433413e-01	4.980297456230279862e-01
-4.989799999999999965e-03	1.000360841500481213e+00	4.990463469692514864e-01
-4.989190000000000118e-03	9.986676441633827173e-01	4.973520113922123009e-01
-4.988580000000000271e-03	9.986676441633827173e-01	5.000629483154749311e-01
-4.987969999999999557e-03	9.976517257611237088e-01	4.959965429305810414e-01
-4.987359999999999710e-03	9.996835625656417257e-01	4.983686127384358011e-01
-4.986749999999999863e-03	9.969744468262843329e-01	4.990463469692514864e-01
-4.986140000000000017e-03	9.996835625656417257e-01	4.973520113922123009e-01
-4.985530000000000170e-03	9.986676441633827173e-01	4.983686127384358011e-01
-4.984919999999999456e-03	9.979903652285433413e-01	4.997240812000671162e-01
-4.984309999999999609e-03	9.979903652285433413e-01	4.987074798538436160e-01
-4.983699999999999762e-03	9.990062836308024607e-01	4.993852140846593013e-01
-4.983089999999999915e-03	9.990062836308024607e-01	4.970131442768044860e-01
-4.982480000000000069e-03	9.993449230982220932e-01	5.000629483154749311e-01
-4.981870000000000222e-03	9.979903652285433413e-01	4.973520113922123009e-01
-4.981259999999999508e-03	9.962971678914449569e-01	4.973520113922123009e-01
