# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	-9.123410877606907485e-03	-4.510186526780325320e-03
-8.191000000000000364e-03	-9.462050345026595463e-03	-4.510186526780325320e-03
-8.189999999999999364e-03	-1.081660821470534391e-02	-4.849053642188153219e-03
-8.189000000000000098e-03	-9.462050345026595463e-03	-4.849053642188153219e-03
-8.187999999999999098e-03	-8.784771410187219506e-03	-5.526787873003808152e-03
-8.186999999999999833e-03	-8.107492475347845284e-03	-5.187920757595980252e-03
-8.185999999999998833e-03	-1.013932927986596969e-02	-3.493585180556842487e-03
-8.184999999999999568e-03	-7.430213540508471062e-03	-5.187920757595980252e-03
-8.184000000000000302e-03	-6.752934605669095973e-03	-5.526787873003808152e-03
-8.182999999999999302e-03	-1.149388714954471986e-02	-6.204522103819463084e-03
-8.182000000000000037e-03	-8.107492475347845284e-03	-5.187920757595980252e-03
-8.180999999999999037e-03	-1.013932927986596969e-02	-4.510186526780325320e-03
-8.179999999999999771e-03	-1.047796874728565766e-02	-7.559990565450773817e-03
-8.178999999999998771e-03	-9.123410877606907485e-03	-4.510186526780325320e-03
-8.177999999999999506e-03	-9.462050345026595463e-03	-4.171319411372498287e-03
-8.177000000000000240e-03	-1.149388714954471986e-02	-6.204522103819463084e-03
-8.175999999999999240e-03	-9.123410877606907485e-03	-4.849053642188153219e-03
-8.174999999999999975e-03	-1.081660821470534391e-02	-5.526787873003808152e-03
-8.173999999999998975e-03	-1.183252661696440611e-02	-4.510186526780325320e-03
-8.172999999999999710e-03	-9.800689812446281707e-03	-6.204522103819463084e-03
-8.172000000000000444e-03	-9.800689812446281707e-03	-5.865654988411636052e-03
-8.170999999999999444e-03	-9.800689812446281707e-03	-5.526787873003808152e-03
-8.170000000000000179e-03	-8.107492475347845284e-03	-4.849053642188153219e-03
-8.168999999999999179e-03	-7.430213540508471062e-03	-5.865654988411636052e-03
-8.167999999999999913e-03	-7.768853007928158173e-03	-4.849053642188153219e-03
-8.166999999999998913e-03	-8.784771410187219506e-03	-3.493585180556842487e-03
-8.165999999999999648e-03	-8.107492475347845284e-03	-3.154718065149015021e-03
-8.165000000000000382e-03	-9.462050345026595463e-03	-5.526787873003808152e-03
-8.163999999999999382e-03	-9.800689812446281707e-03	-4.510186526780325320e-03
-8.163000000000000117e-03	-1.013932927986596969e-02	-3.154718065149015021e-03
-8.161999999999999117e-03	-7.768853007928158173e-03	-5.526787873003808152e-03
-8.160999999999999852e-03	-8.446131942767533263e-03	-5.187920757595980252e-03
-8.159999999999998851e-03	-9.123410877606907485e-03	-4.171319411372498287e-03
-8.158999999999999586e-03	-1.047796874728565766e-02	-5.187920757595980252e-03
-8.158000000000000321e-03	-1.047796874728565766e-02	-4.510186526780325320e-03
-8.156999999999999321e-03	-8.784771410187219506e-03	-4.849053642188153219e-03
-8.156000000000000055e-03	-7.768853007928158173e-03	-5.187920757595980252e-03
-8.154999999999999055e-03	-9.800689812446281707e-03	-6.204522103819463084e-03
-8.153999999999999790e-03	-9.800689812446281707e-03	-4.849053642188153219e-03
-8.152999999999998790e-03	-1.013932927986596969e-02	-4.849053642188153219e-03
-8.151999999999999524e-03	-9.800689812446281707e-03	-5.865654988411636052e-03
-8.151000000000000259e-03	-1.013932927986596969e-02	-4.171319411372498287e-03
-8.149999999999999259e-03	-6.075655670829720884e-03	-4.510186526780325320e-03
-8.148999999999999994e-03	-1.250980555180378206e-02	-4.510186526780325320e-03
-8.147999999999998993e-03	-7.768853007928158173e-03	-3.832452295964670387e-03
-8.146999999999999728e-03	-8.446131942767533263e-03	-5.526787873003808152e-03
-8.146000000000000463e-03	-8.784771410187219506e-03	-6.204522103819463084e-03
-8.144999999999999463e-03	-9.123410877606907485e-03	-4.849053642188153219e-03
-8.144000000000000197e-03	-9.123410877606907485e-03	-3.832452295964670387e-03
-8.142999999999999197e-03	-7.091574073088783084e-03	-4.849053642188153219e-03
-8.141999999999999932e-03	-9.800689812446281707e-03	-4.171319411372498287e-03
-8.140999999999998932e-03	-1.013932927986596969e-02	-6.543389219227290984e-03
-8.139999999999999666e-03	-8.446131942767533263e-03	-4.849053642188153219e-03
-8.139000000000000401e-03	-8.446131942767533263e-03	-6.204522103819463084e-03
-8.137999999999999401e-03	-6.752934605669095973e-03	-4.849053642188153219e-03
-8.137000000000000136e-03	-8.446131942767533263e-03	-5.526787873003808152e-03
-8.135999999999999135e-03	-8.446131942767533263e-03	-4.849053642188153219e-03
-8.134999999999999870e-03	-8.107492475347845284e-03	-4.849053642188153219e-03
-8.133999999999998870e-03	-7.430213540508471062e-03	-5.187920757595980252e-03
-8.132999999999999605e-03	-8.446131942767533263e-03	-4.849053642188153219e-03
-8.132000000000000339e-03	-1.013932927986596969e-02	-6.204522103819463084e-03
-8.130999999999999339e-03	-8.107492475347845284e-03	-3.832452295964670387e-03
-8.130000000000000074e-03	-1.183252661696440611e-02	-5.187920757595980252e-03
-8.128999999999999074e-03	-8.784771410187219506e-03	-5.526787873003808152e-03
-8.127999999999999808e-03	-8.107492475347845284e-03	-4.510186526780325320e-03
-8.126999999999998808e-03	-8.784771410187219506e-03	-3.832452295964670387e-03
-8.125999999999999543e-03	-9.462050345026595463e-03	-5.187920757595980252e-03
-8.125000000000000278e-03	-1.183252661696440611e-02	-5.526787873003808152e-03
-8.123999999999999277e-03	-8.107492475347845284e-03	-5.526787873003808152e-03
-8.123000000000000012e-03	-1.013932927986596969e-02	-4.510186526780325320e-03
-8.121999999999999012e-03	-7.091574073088783084e-03	-5.865654988411636052e-03
-8.120999999999999747e-03	-8.784771410187219506e-03	-5.865654988411636052e-03
-8.120000000000000481e-03	-8.784771410187219506e-03	-5.187920757595980252e-03
-8.118999999999999481e-03	-9.123410877606907485e-03	-4.171319411372498287e-03
-8.118000000000000216e-03	-1.081660821470534391e-02	-5.526787873003808152e-03
-8.116999999999999216e-03	-8.107492475347845284e-03	-4.849053642188153219e-03
-8.115999999999999950e-03	-1.013932927986596969e-02	-5.187920757595980252e-03
-8.114999999999998950e-03	-7.430213540508471062e-03	-5.187920757595980252e-03
-8.113999999999999685e-03	-8.784771410187219506e-03	-4.171319411372498287e-03
-8.113000000000000420e-03	-8.784771410187219506e-03	-4.510186526780325320e-03
-8.111999999999999419e-03	-9.123410877606907485e-03	-6.204522103819463084e-03
-8.111000000000000154e-03	-1.013932927986596969e-02	-3.832452295964670387e-03
-8.109999999999999154e-03	-9.462050345026595463e-03	-4.849053642188153219e-03
-8.108999999999999889e-03	-8.784771410187219506e-03	-4.510186526780325320e-03
-8.107999999999998889e-03	-8.107492475347845284e-03	-6.204522103819463084e-03
-8.106999999999999623e-03	-9.462050345026595463e-03	-3.493585180556842487e-03
-8.106000000000000358e-03	-8.446131942767533263e-03	-4.849053642188153219e-03
-8.104999999999999358e-03	-8.107492475347845284e-03	-5.865654988411636052e-03
-8.104000000000000092e-03	-1.013932927986596969e-02	-5.187920757595980252e-03
-8.102999999999999092e-03	-8.784771410187219506e-03	-5.865654988411636052e-03
-8.101999999999999827e-03	-1.081660821470534391e-02	-5.526787873003808152e-03
-8.100999999999998827e-03	-8.446131942767533263e-03	-4.510186526780325320e-03
-8.099999999999999561e-03	-9.123410877606907485e-03	-6.204522103819463084e-03
-8.099000000000000296e-03	-9.123410877606907485e-03	-6.882256334635118017e-03
-8.097999999999999296e-03	-7.430213540508471062e-03	-4.849053642188153219e-03
-8.097000000000000031e-03	-8.446131942767533263e-03	-3.493585180556842487e-03
-8.095999999999999031e-03	-9.462050345026595463e-03	-3.493585180556842487e-03
-8.094999999999999765e-03	-9.123410877606907485e-03	-4.171319411372498287e-03
-8.094000000000000500e-03	-1.047796874728565766e-02	-5.865654988411636052e-03
-8.092999999999999500e-03	-8.107492475347845284e-03	-6.204522103819463084e-03
-8.092000000000000234e-03	-7.430213540508471062e-03	-4.171319411372498287e-03
-8.090999999999999234e-03	-7.091574073088783084e-03	-5.865654988411636052e-03
-8.089999999999999969e-03	-1.081660821470534391e-02	-6.204522103819463084e-03
-8.088999999999998969e-03	-7.768853007928158173e-03	-5.187920757595980252e-03
-8.087999999999999703e-03	-7.091574073088783084e-03	-3.493585180556842487e-03
-8.087000000000000438e-03	-8.784771410187219506e-03	-6.204522103819463084e-03
-8.085999999999999438e-03	-9.123410877606907485e-03	-4.849053642188153219e-03
-8.085000000000000173e-03	-9.462050345026595463e-03	-3.832452295964670387e-03
-8.083999999999999173e-03	-9.800689812446281707e-03	-4.849053642188153219e-03
-8.082999999999999907e-03	-8.446131942767533263e-03	-4.510186526780325320e-03
-8.081999999999998907e-03	-1.047796874728565766e-02	-5.526787873003808152e-03
-8.080999999999999642e-03	-9.800689812446281707e-03	-4.171319411372498287e-03
-8.080000000000000376e-03	-1.013932927986596969e-02	-2.815850949741187555e-03
-8.078999999999999376e-03	-8.107492475347845284e-03	-5.526787873003808152e-03
-8.078000000000000111e-03	-7.768853007928158173e-03	-5.187920757595980252e-03
-8.076999999999999111e-03	-1.081660821470534391e-02	-4.849053642188153219e-03
-8.075999999999999845e-03	-1.115524768212503189e-02	-5.526787873003808152e-03
-8.074999999999998845e-03	-9.800689812446281707e-03	-4.849053642188153219e-03
-8.073999999999999580e-03	-1.013932927986596969e-02	-4.510186526780325320e-03
-8.073000000000000315e-03	-9.800689812446281707e-03	-5.187920757595980252e-03
-8.071999999999999315e-03	-6.414295138249408862e-03	-5.187920757595980252e-03
-8.071000000000000049e-03	-1.013932927986596969e-02	-3.832452295964670387e-03
-8.069999999999999049e-03	-1.183252661696440611e-02	-4.849053642188153219e-03
-8.068999999999999784e-03	-1.250980555180378206e-02	-4.849053642188153219e-03
-8.067999999999998784e-03	-1.081660821470534391e-02	-3.832452295964670387e-03
-8.066999999999999518e-03	-1.081660821470534391e-02	-4.849053642188153219e-03
-8.066000000000000253e-03	-1.013932927986596969e-02	-6.543389219227290984e-03
-8.064999999999999253e-03	-8.784771410187219506e-03	-5.526787873003808152e-03
-8.063999999999999987e-03	-9.123410877606907485e-03	-4.171319411372498287e-03
-8.062999999999998987e-03	-1.013932927986596969e-02	-4.849053642188153219e-03
-8.061999999999999722e-03	-8.446131942767533263e-03	-5.187920757595980252e-03
-8.061000000000000457e-03	-8.107492475347845284e-03	-5.526787873003808152e-03
-8.059999999999999457e-03	-1.183252661696440611e-02	-5.187920757595980252e-03
-8.059000000000000191e-03	-8.446131942767533263e-03	-4.510186526780325320e-03
-8.057999999999999191e-03	-1.081660821470534391e-02	-4.171319411372498287e-03
-8.056999999999999926e-03	-7.768853007928158173e-03	-5.526787873003808152e-03
-8.055999999999998926e-03	-9.462050345026595463e-03	-4.510186526780325320e-03
-8.054999999999999660e-03	-9.462050345026595463e-03	-4.849053642188153219e-03
-8.054000000000000395e-03	-9.800689812446281707e-03	-3.832452295964670387e-03
-8.052999999999999395e-03	-8.784771410187219506e-03	-6.543389219227290984e-03
-8.052000000000000129e-03	-1.081660821470534391e-02	-4.171319411372498287e-03
-8.050999999999999129e-03	-9.462050345026595463e-03	-3.493585180556842487e-03
-8.049999999999999864e-03	-9.123410877606907485e-03	-5.526787873003808152e-03
-8.048999999999998864e-03	-9.800689812446281707e-03	-4.171319411372498287e-03
-8.047999999999999599e-03	-1.217116608438409409e-02	-4.171319411372498287e-03
-8.047000000000000333e-03	-8.107492475347845284e-03	-4.849053642188153219e-03
-8.045999999999999333e-03	-9.462050345026595463e-03	-3.832452295964670387e-03
-8.045000000000000068e-03	-1.081660821470534391e-02	-4.849053642188153219e-03
-8.043999999999999068e-03	-1.115524768212503189e-02	-5.526787873003808152e-03
-8.042999999999999802e-03	-1.047796874728565766e-02	-4.510186526780325320e-03
-8.041999999999998802e-03	-1.217116608438409409e-02	-5.526787873003808152e-03
-8.040999999999999537e-03	-7.430213540508471062e-03	-3.154718065149015021e-03
-8.040000000000000271e-03	-1.013932927986596969e-02	-6.204522103819463084e-03
-8.038999999999999271e-03	-8.107492475347845284e-03	-5.865654988411636052e-03
-8.038000000000000006e-03	-8.784771410187219506e-03	-8.237724796266429617e-03
-8.036999999999999006e-03	-9.800689812446281707e-03	-5.187920757595980252e-03
-8.035999999999999741e-03	-1.013932927986596969e-02	-3.493585180556842487e-03
-8.035000000000000475e-03	-6.752934605669095973e-03	-4.171319411372498287e-03
-8.033999999999999475e-03	-1.081660821470534391e-02	-4.510186526780325320e-03
-8.033000000000000210e-03	-1.081660821470534391e-02	-5.865654988411636052e-03
-8.031999999999999210e-03	-9.462050345026595463e-03	-5.526787873003808152e-03
-8.030999999999999944e-03	-9.800689812446281707e-03	-5.187920757595980252e-03
-8.029999999999998944e-03	-8.784771410187219506e-03	-4.171319411372498287e-03
-8.028999999999999679e-03	-7.768853007928158173e-03	-5.526787873003808152e-03
-8.028000000000000413e-03	-1.013932927986596969e-02	-4.849053642188153219e-03
-8.026999999999999413e-03	-1.013932927986596969e-02	-4.849053642188153219e-03
-8.026000000000000148e-03	-8.446131942767533263e-03	-6.543389219227290984e-03
-8.024999999999999148e-03	-8.107492475347845284e-03	-5.526787873003808152e-03
-8.023999999999999883e-03	-9.123410877606907485e-03	-4.510186526780325320e-03
