*Frequency 	VF1-abs (dB)	VF1-phase (deg)
1	-23.2383491881112	84.0836042241157
1.12201845430196	-22.2502285251866	83.3677409832874
1.25892541179417	-21.2651376694361	82.5669919363136
1.41253754462275	-20.2838346855747	81.67199125693
1.58489319246111	-19.3072589557306	80.6726211806995
1.77827941003892	-18.3365698479316	79.5580678723982
1.99526231496888	-17.3731910003034	78.3169351185581
2.23872113856834	-16.418859511109	76.9374370748016
2.51188643150958	-15.4756782308689	75.4076953123504
2.81838293126445	-14.5461677306228	73.7161680346323
3.16227766016838	-13.6333122920909	71.8522386606561
3.54813389233575	-12.7405914730987	69.8069841790043
3.98107170553497	-11.8719857307852	67.5741271899228
4.46683592150963	-11.0319419180788	65.1511458040785
5.01187233627272	-10.225283403378	62.5404707404384
5.62341325190349	-9.45705176261247	59.7506418591325
6.30957344480193	-8.73227417633024	56.7972376766687
7.07945784384138	-8.0556637048069	53.7033514207428
7.94328234724281	-7.43127729423754	50.4993925720609
8.91250938133746	-6.86217446265982	47.2220661493882
10	-6.35013136557694	43.9125256535205
11.2201845430196	-5.89546361022059	40.6138794961539
12.5892541179417	-5.49699394489385	37.3683957632945
14.1253754462275	-5.15217165021827	34.2148325513225
15.8489319246111	-4.8573187817877	31.1862863049589
17.7827941003892	-4.60795524492046	28.3088133763119
19.9526231496888	-4.39914667389258	25.6008958021325
22.3872113856834	-4.22582604225599	23.0736561026821
25.1188643150958	-4.0830562703488	20.7316216882321
28.1838293126446	-3.96621964376255	18.5738075623921
31.6227766016838	-3.87113515257055	16.5949103059204
35.4813389233575	-3.79411448513057	14.7864601509822
39.8107170553497	-3.73197151301718	13.1378375671016
44.6683592150963	-3.68200018764128	11.6371114665296
50.1187233627272	-3.64193359831332	10.2716921613943
56.2341325190349	-3.60989393106354	9.02881385072792
63.0957344480193	-3.58434010717949	7.89587179562572
70.7945784384138	-3.56401740335396	6.86064216988006
79.4328234724282	-3.54791148839681	5.91141103159045
89.1250938133746	-3.53520801506459	5.03703523446417
100	-3.52525807170621	4.22695382813593
112.201845430196	-3.51754930718095	3.47116438557156
125.892541179417	-3.51168228855389	2.76017511621677
141.253754462275	-3.50735155239243	2.08494069541986
158.489319246111	-3.50433080803227	1.43678744831442
177.827941003892	-3.50246180498409	0.80733179461223
199.526231496888	-3.50164646112797	0.188394597678096
223.872113856834	-3.50184194809131	-0.428086819311147
251.188643150958	-3.50305853665468	-1.05014779521022
281.838293126446	-3.50536011392609	-1.68588570056079
316.227766016838	-3.50886739357015	-2.34354873446086
354.813389233576	-3.51376394979153	-3.03162316907943
398.107170553497	-3.5203053140312	-3.75891765981948
446.683592150963	-3.52883147787529	-4.53464255681734
501.187233627273	-3.53978324082221	-5.36848113364917
562.341325190349	-3.55372291641983	-6.27064821485941
630.957344480194	-3.57135994596243	-7.25192974509855
707.945784384138	-3.59358193479477	-8.32369431022148
794.328234724282	-3.62149147548478	-9.49786443607792
891.250938133746	-3.65644878707952	-10.7868316797568
1000	-3.70011958897411	-12.2032952918701
1122.01845430196	-3.75452662882606	-13.7600000833381
1258.92541179417	-3.82210177663534	-15.4693460992925
1412.53754462276	-3.905733491378	-17.3428425363461
1584.89319246111	-4.00880177333399	-19.3903836803216
1778.27941003892	-4.13518966194093	-21.6193389539215
1995.26231496888	-4.28925751999023	-24.0334761189802
2238.72113856834	-4.47576485507697	-26.6317786184611
2511.88643150958	-4.69972586015321	-29.40727332116
2818.38293126445	-4.96619097001488	-32.3460445899856
3162.27766016838	-5.27995865710841	-35.4266561477419
3548.13389233575	-5.64523870815567	-38.6202076324059
3981.07170553497	-6.06530670870636	-41.8911935268348
4466.83592150963	-6.54220301075522	-45.1992007642168
5011.87233627272	-7.07653104000201	-48.5013012174926
5623.41325190349	-7.66739554079917	-51.7548213294976
6309.57344480194	-8.31249375869831	-54.9200688235814
7079.45784384139	-9.00834044945439	-57.9626082418535
7943.28234724282	-9.7505820876031	-60.8547979568668
8912.50938133746	-10.5343445231589	-63.5764817260099
10000	-11.3545627239487	-66.1149018923964
11220.1845430196	-12.2062563385244	-68.4640193108882
12589.2541179417	-13.0847334461198	-70.6234702395176
14125.3754462276	-13.9857210649283	-72.5973749726467
15848.9319246112	-14.9054317567377	-74.3931627709413
17782.7941003892	-15.8405807373881	-76.0205176844044
19952.6231496888	-16.7883686178539	-77.4904967594884
22387.2113856834	-17.7464430367999	-78.8148331474403
25118.8643150958	-18.7128495091239	-80.0054123981259
28183.8293126445	-19.6859787965266	-81.0738979536668
31622.7766016838	-20.6645155155723	-82.0314778317726
35481.3389233575	-21.6473907097157	-82.8887053805196
39810.7170553498	-22.6337397075805	-83.6554103325336
44668.3592150963	-23.6228656697387	-84.3406605966009
50118.7233627273	-24.6142086696094	-84.9527593928911
56234.1325190349	-25.607319851248	-85.4992660247825
63095.7344480195	-26.6018400705978	-85.9870316304147
70794.5784384138	-27.5974823934279	-86.4222436701811
79432.8234724283	-28.594017848742	-86.810474754762
89125.0938133745	-29.5912638921312	-87.156732799285
100000	-30.5890751014489	-87.4655105001416
 
